Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec
27/04/2021,Coliflor mediana,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
28/04/2021,Coliflor mediana,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
29/04/2021,Coliflor mediana,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
22/04/2021,Chícharo arrugado,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19
23/04/2021,Chícharo arrugado,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19
26/04/2021,Chícharo arrugado,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19
27/04/2021,Chícharo arrugado,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19
28/04/2021,Chícharo arrugado,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19
29/04/2021,Chícharo arrugado,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19
22/04/2021,Elote,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,5,4.5
23/04/2021,Elote,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,5,4.5
26/04/2021,Elote,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,5,4.5
27/04/2021,Elote,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,5,4.5
28/04/2021,Elote,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,5,4.5
29/04/2021,Elote,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,5,4.5
22/04/2021,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
23/04/2021,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
26/04/2021,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
27/04/2021,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
28/04/2021,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
29/04/2021,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
22/04/2021,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
23/04/2021,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
