Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec,Obs.
22/04/2019,Calabacita Italiana,Primera,Caja de 14 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,145,155,150,
23/04/2019,Calabacita Italiana,Primera,Caja de 14 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,145,155,150,
24/04/2019,Calabacita Italiana,Primera,Caja de 14 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,145,155,150,
25/04/2019,Calabacita Italiana,Primera,Caja de 14 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,145,155,150,
26/04/2019,Calabacita Italiana,Primera,Caja de 14 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,145,155,150,
29/04/2019,Calabacita Italiana,Primera,Caja de 14 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,145,155,150,
22/04/2019,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
23/04/2019,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
24/04/2019,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
25/04/2019,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
26/04/2019,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
29/04/2019,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
22/04/2019,Coliflor mediana,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,105,115,110,
23/04/2019,Coliflor mediana,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,105,115,110,
24/04/2019,Coliflor mediana,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,105,115,110,
25/04/2019,Coliflor mediana,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,105,115,110,
26/04/2019,Coliflor mediana,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,105,115,110,
29/04/2019,Coliflor mediana,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,105,115,110,
22/04/2019,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.5,25.5,25,
23/04/2019,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.5,25.5,25,
24/04/2019,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.5,25.5,25,
25/04/2019,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.5,25.5,25,
26/04/2019,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.5,25.5,25,
29/04/2019,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,24.5,25.5,25,
22/04/2019,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4,4,
23/04/2019,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4,4,
24/04/2019,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4,4,
25/04/2019,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4,4,
26/04/2019,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4,4,
29/04/2019,Elote,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4,4,
22/04/2019,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
23/04/2019,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
24/04/2019,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
25/04/2019,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
26/04/2019,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
29/04/2019,Lechuga Orejona sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
22/04/2019,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
23/04/2019,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
24/04/2019,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
25/04/2019,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
26/04/2019,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
29/04/2019,Lechuga Romanita sin clasificación,Primera,Pieza,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5.5,5,
22/04/2019,Nopal,Primera,Caja de 25 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,115,125,120,
23/04/2019,Nopal,Primera,Caja de 25 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,115,125,120,
24/04/2019,Nopal,Primera,Caja de 25 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,115,125,120,
25/04/2019,Nopal,Primera,Caja de 25 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,115,125,120,
26/04/2019,Nopal,Primera,Caja de 25 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,115,125,120,
29/04/2019,Nopal,Primera,Caja de 25 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,115,125,120,
22/04/2019,Calabacita Criolla,Primera,Caja de 15 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",170,190,180,
23/04/2019,Calabacita Criolla,Primera,Caja de 15 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",150,160,150,
24/04/2019,Calabacita Criolla,Primera,Caja de 15 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",150,160,155,
25/04/2019,Calabacita Criolla,Primera,Caja de 15 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",150,160,160,
26/04/2019,Calabacita Criolla,Primera,Caja de 15 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",150,160,150,
29/04/2019,Calabacita Criolla,Primera,Caja de 15 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",165,175,165,
22/04/2019,Nopal grande,Primera,Caja de 34 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",140,160,155,
