Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec,Obs
22/04/2020,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,6,5,
23/04/2020,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,6,5,
24/04/2020,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,6,5,
27/04/2020,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,6,5,
28/04/2020,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,6,5,
29/04/2020,Col mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,6,5,
22/04/2020,Coliflor mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7,9,8,
23/04/2020,Coliflor mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7,9,8,
24/04/2020,Coliflor mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7,9,8,
27/04/2020,Coliflor mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7,9,8,
28/04/2020,Coliflor mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7,9,8,
29/04/2020,Coliflor mediana,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7,9,8,
22/04/2020,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19,
23/04/2020,Chícharo arrugado,Primera,Kilogramo,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19,
